grid_size,area
29.999950184311192,899.9970110611532
29.99995019478858,899.9970116897953
29.99995020238468,899.9970121455608
29.999950209660646,899.9970125821178
29.999950214637405,899.9970128807229
29.999950228694555,899.9970137241505
29.999950234311605,899.9970140611729
29.999950241645774,899.9970145012223
29.99995025063886,899.9970150408066
29.9999502547134,899.9970152852787
29.999950264812433,899.9970158912197
29.999950275493546,899.9970165320854
29.999950278753182,899.9970167276631
29.999950290278303,899.9970174191692
29.999950297350537,899.9970178435026
29.999950305645132,899.9970183411774
29.999950314696427,899.9970188842543
29.999950320488097,899.9970192317538
29.999950328899107,899.9970197364137
29.999950335534788,899.9970201345538
29.999950348078542,899.9970208871778
29.999950352793366,899.9970211700669
29.99995036271778,899.9970217655306
29.99995037150714,899.9970222928914
29.999950375116022,899.9970225094239
29.99995038425463,899.9970230577394
29.999950394353657,899.9970236636802
29.999950400436365,899.997024028642
29.999950408905587,899.9970245367945
29.999950418364335,899.9970251043185
29.999950425000016,899.9970255024585
29.999950436001264,899.9970261625325
29.9999504377475,899.9970262673064
29.99995045011663,899.997027009453
29.999950455762782,899.9970273482215
29.999950460244776,899.9970276171408
29.99995047264301,899.9970283610337
29.999950482421905,899.9970289477664
29.999950488591924,899.9970293179667
29.9999504982544,899.9970298977144
29.99995050515201,899.9970303115704
29.999950511962307,899.9970307201876
29.99995052028601,899.9970312196087
29.99995053090891,899.997031856982
29.9999505360894,899.9970321678107
29.999950545460838,899.997032730096
29.99995055320246,899.9970331945926
29.999950559314275,899.9970335613008
29.99995056915137,899.9970341515257
29.999950578872053,899.9970347347655
29.999950582626454,899.9970349600293
29.999950594820962,899.9970356916986
29.99995060046711,899.9970360304669
29.999950607248305,899.997036437338
29.999950617230926,899.9970370362942
29.999950625292694,899.9970375199995
29.999950633965636,899.9970380403752
29.9999506419983,899.9970385223342
29.999950647760862,899.9970388680874
29.99995065748155,899.9970394513275
29.99995066321501,899.9970397953348
29.99995067057828,899.9970402371302
29.999950681550427,899.997040895458
29.99995068882639,899.997041332015
29.999950698168725,899.9970418925541
29.999950702243265,899.9970421370261
29.999950713215412,899.997042795354
29.999950721597322,899.9970432982677
29.99995072686512,899.9970436143351
29.999950736789533,899.9970442097988
29.99995074517144,899.9970447127124
29.999950751865327,899.9970451143449
29.999950763477756,899.9970458110896
29.99995076580607,899.9970459507882
29.999950777593124,899.9970466580103
29.99995078262809,899.9970469601078
29.999950792232358,899.997047536363
