x,y,z,grid_size,area
656980.3593,960525.0,1392.0404,30.0,900.0
656980.3593,960495.0,1391.5211,30.0,900.0
656980.3593,960465.0,1392.092,30.0,900.0
656980.3593,960435.0,1392.5104,30.0,900.0
656980.3593,960405.0,1392.8469,30.0,900.0
656980.3593,960375.0,1392.972,30.0,900.0
656980.3593,960345.0,1393.1001,30.0,900.0
656980.3593,960315.0,1393.1317,30.0,900.0
656980.3593,960285.0,1393.1313,30.0,900.0
656980.3593,960255.0,1393.1321,30.0,900.0
656980.3593,960225.0,1393.1501,30.0,900.0
656980.3593,960195.0,1393.1566,30.0,900.0
656980.3593,960165.0,1393.0608,30.0,900.0
656980.3593,960135.0,1392.7017,30.0,900.0
656980.3593,960105.0,1392.217,30.0,900.0
656980.3593,960075.0,1391.8018,30.0,900.0
656980.3593,960045.0,1390.6976,30.0,900.0
656980.3593,960015.0,1390.0303,30.0,900.0
656980.3593,959985.0,1389.9635,30.0,900.0
656980.3593,959955.0,1390.4385,30.0,900.0
656980.3593,959925.0,1391.1868,30.0,900.0
656980.3593,959895.0,1391.917,30.0,900.0
656980.3593,959865.0,1392.0682,30.0,900.0
656980.3593,959835.0,1392.3916,30.0,900.0
656980.3593,959805.0,1393.0934,30.0,900.0
656980.3593,959775.0,1393.59,30.0,900.0
656980.3593,959745.0,1393.6351,30.0,900.0
656980.3593,959715.0,1393.5466,30.0,900.0
656980.3593,959685.0,1393.2855,30.0,900.0
656980.3593,959655.0,1392.9928,30.0,900.0
656980.3593,959625.0,1392.3715,30.0,900.0
656980.3593,959595.0,1391.2874,30.0,900.0
656980.3593,959565.0,1390.3226,30.0,900.0
656980.3593,959535.0,1390.0642,30.0,900.0
656980.3593,959505.0,1389.1653,30.0,900.0
656980.3593,959475.0,1388.5509,30.0,900.0
656980.3593,959445.0,1385.6313,30.0,900.0
656980.3593,959415.0,1380.2361,30.0,900.0
656980.3593,959385.0,1377.9056,30.0,900.0
656980.3593,959355.0,1376.1084,30.0,900.0
656980.3593,959325.0,1376.7659,30.0,900.0
656980.3593,959295.0,1377.7849,30.0,900.0
656980.3593,959265.0,1381.4009,30.0,900.0
656980.3593,959235.0,1387.4541,30.0,900.0
656980.3593,959205.0,1389.1895,30.0,900.0
656980.3593,959175.0,1388.8893,30.0,900.0
656980.3593,959145.0,1388.7788,30.0,900.0
656980.3593,959115.0,1388.6786,30.0,900.0
656980.3593,959085.0,1388.5125,30.0,900.0
656980.3593,959055.0,1388.573,30.0,900.0
656980.3593,959025.0,1389.4843,30.0,900.0
656980.3593,958995.0,1390.1398,30.0,900.0
656980.3593,958965.0,1390.0992,30.0,900.0
656980.3593,958935.0,1390.2098,30.0,900.0
657010.3593,963885.0,1405.1804,4950.0,24502500.0
657010.3593,963855.0,1405.3114,30.0,900.0
657010.3593,963825.0,1404.8813,30.0,900.0
657010.3593,963795.0,1405.0382,30.0,900.0
657010.3593,963765.0,1405.812,30.0,900.0
657010.3593,963735.0,1405.71,30.0,900.0
657010.3593,963705.0,1405.1154,30.0,900.0
657010.3593,963675.0,1403.4995,30.0,900.0
657010.3593,963645.0,1403.6652,30.0,900.0
657010.3593,963615.0,1403.6191,30.0,900.0
657010.3593,963585.0,1403.5896,30.0,900.0
657010.3593,963555.0,1403.5422,30.0,900.0
657010.3593,963525.0,1403.594,30.0,900.0
657010.3593,963495.0,1403.6088,30.0,900.0
657010.3593,963465.0,1403.129,30.0,900.0
657010.3593,963435.0,1402.896,30.0,900.0
657010.3593,963405.0,1402.8875,30.0,900.0
657010.3593,963375.0,1402.9114,30.0,900.0
657010.3593,963345.0,1402.5636,30.0,900.0
657010.3593,963315.0,1401.6705,30.0,900.0
657010.3593,963285.0,1401.9812,30.0,900.0
657010.3593,963255.0,1402.097,30.0,900.0
657010.3593,963225.0,1399.5032,30.0,900.0
657010.3593,963195.0,1399.2358,30.0,900.0
657010.3593,963165.0,1399.4321,30.0,900.0
657010.3593,963135.0,1399.0449,30.0,900.0
657010.3593,963105.0,1399.603,30.0,900.0
657010.3593,963075.0,1398.9342,30.0,900.0
657010.3593,963045.0,1396.7988,30.0,900.0
657010.3593,963015.0,1397.2412,30.0,900.0
657010.3593,962985.0,1397.2441,30.0,900.0
657010.3593,962955.0,1397.0184,30.0,900.0
657010.3593,962925.0,1396.7607,30.0,900.0
657010.3593,962895.0,1397.016,30.0,900.0
657010.3593,962865.0,1397.3911,30.0,900.0
657010.3593,962835.0,1397.4297,30.0,900.0
657010.3593,962805.0,1395.6521,30.0,900.0
657010.3593,962775.0,1395.7332,30.0,900.0
657010.3593,962745.0,1396.8903,30.0,900.0
657010.3593,962715.0,1396.854,30.0,900.0
657010.3593,962685.0,1396.8545,30.0,900.0
657010.3593,962655.0,1396.6193,30.0,900.0
657010.3593,962625.0,1396.2811,30.0,900.0
657010.3593,962595.0,1395.2413,30.0,900.0
657010.3593,962565.0,1394.403,30.0,900.0
657010.3593,962535.0,1395.3542,30.0,900.0
657010.3593,962505.0,1393.3085,30.0,900.0
657010.3593,962475.0,1392.287,30.0,900.0
657010.3593,962445.0,1392.0782,30.0,900.0
657010.3593,962415.0,1391.9244,30.0,900.0
657010.3593,962385.0,1391.4946,30.0,900.0
657010.3593,962355.0,1390.9319,30.0,900.0
657010.3593,962325.0,1390.2662,30.0,900.0
657010.3593,962295.0,1388.8853,30.0,900.0
657010.3593,962265.0,1387.0258,30.0,900.0
657010.3593,962235.0,1386.0703,30.0,900.0
657010.3593,962205.0,1385.5098,30.0,900.0
657010.3593,962175.0,1384.9928,30.0,900.0
657010.3593,962145.0,1384.6083,30.0,900.0
657010.3593,962115.0,1384.4207,30.0,900.0
657010.3593,962085.0,1384.277,30.0,900.0
657010.3593,962055.0,1383.8939,30.0,900.0
657010.3593,962025.0,1383.4384,30.0,900.0
657010.3593,961995.0,1383.2753,30.0,900.0
657010.3593,961965.0,1383.0383,30.0,900.0
657010.3593,961935.0,1382.8647,30.0,900.0
657010.3593,961905.0,1382.6547,30.0,900.0
657010.3593,961875.0,1382.4999,30.0,900.0
657010.3593,961845.0,1382.3655,30.0,900.0
657010.3593,961815.0,1382.2194,30.0,900.0
657010.3593,961785.0,1382.4395,30.0,900.0
657010.3593,961755.0,1383.7753,30.0,900.0
657010.3593,961725.0,1387.2173,30.0,900.0
657010.3593,961695.0,1392.2554,30.0,900.0
657010.3593,961665.0,1394.3116,30.0,900.0
657010.3593,961635.0,1394.2555,30.0,900.0
657010.3593,961605.0,1394.2107,30.0,900.0
657010.3593,961575.0,1393.946,30.0,900.0
657010.3593,961545.0,1392.7836,30.0,900.0
657010.3593,961515.0,1389.5033,30.0,900.0
657010.3593,961485.0,1392.0883,30.0,900.0
657010.3593,961455.0,1392.6172,30.0,900.0
657010.3593,961425.0,1392.8218,30.0,900.0
657010.3593,961395.0,1393.1844,30.0,900.0
657010.3593,961365.0,1393.5306,30.0,900.0
657010.3593,961335.0,1393.8967,30.0,900.0
657010.3593,961305.0,1394.356,30.0,900.0
